"","id","randomint","variable","value"
"1",1,72865,"storyEnableComfort",""
"2",2,59382,"storyEnableComfort",""
"3",3,84512,"storyEnableComfort",""
"4",4,78955,"storyEnableComfort",""
"5",5,34674,"storyEnableComfort",""
"6",6,85129,"storyEnableComfort",""
"7",7,87116,"storyEnableComfort",""
"8",8,63825,"storyEnableComfort",""
"9",9,37438,"storyEnableComfort",""
"10",10,60665,"storyEnableComfort",""
"11",11,50359,"storyEnableComfort",""
"12",12,19339,"storyEnableComfort",""
"13",13,73365,"storyEnableComfort",""
"14",14,69196,"storyEnableComfort",""
"15",15,83419,"storyEnableComfort",""
"16",16,62297,"storyEnableComfort",""
"17",17,38470,"storyEnableComfort","5"
"18",18,92776,"storyEnableComfort",""
"19",19,14068,"storyEnableComfort","5"
"20",20,21222,"storyEnableComfort",""
"21",21,75998,"storyEnableComfort",""
"22",22,98471,"storyEnableComfort",""
"23",23,56168,"storyEnableComfort",""
"24",24,58714,"storyEnableComfort",""
"25",25,39504,"storyEnableComfort",""
"26",26,76054,"storyEnableComfort",""
"27",27,78681,"storyEnableComfort",""
"28",28,56990,"storyEnableComfort",""
"29",29,81290,"storyEnableComfort",""
"30",30,21258,"storyEnableComfort",""
"31",31,12312,"storyEnableComfort",""
"32",32,44542,"storyEnableComfort",""
"33",33,90699,"storyEnableComfort",""
"34",34,59438,"storyEnableComfort",""
"35",35,33867,"storyEnableComfort",""
"36",36,63086,"storyEnableComfort",""
"37",37,75256,"storyEnableComfort",""
"38",38,57847,"storyEnableComfort",""
"39",39,38993,"storyEnableComfort",""
"40",40,50102,"storyEnableComfort",""
"41",41,90799,"storyEnableComfort",""
"42",42,41842,"storyEnableComfort",""
"43",43,13508,"storyEnableComfort",""
"44",44,71528,"storyEnableComfort",""
"45",45,56132,"storyEnableComfort",""
"46",46,90655,"storyEnableComfort",""
"47",47,34832,"storyEnableComfort",""
"48",48,30637,"storyEnableComfort",""
"49",49,86341,"storyEnableComfort",""
"50",50,39787,"storyEnableComfort",""
"51",51,50478,"storyEnableComfort",""
"52",52,10786,"storyEnableComfort",""
"53",53,11447,"storyEnableComfort",""
"54",54,43333,"storyEnableComfort",""
"55",55,22032,"storyEnableComfort",""
"56",56,62901,"storyEnableComfort",""
"57",57,98938,"storyEnableComfort",""
"58",58,70447,"storyEnableComfort",""
"59",59,87076,"storyEnableComfort",""
"60",60,70266,"storyEnableComfort",""
"61",61,64274,"storyEnableComfort",""
"62",62,98663,"storyEnableComfort",""
"63",63,16733,"storyEnableComfort",""
"64",64,43543,"storyEnableComfort",""
"65",65,32664,"storyEnableComfort",""
"66",66,30922,"storyEnableComfort",""
"67",67,85694,"storyEnableComfort",""
"68",68,22488,"storyEnableComfort",""
"69",69,89975,"storyEnableComfort",""
"70",70,90728,"storyEnableComfort",""
"71",71,38371,"storyEnableComfort",""
"72",72,96540,"storyEnableComfort",""
"73",73,56980,"storyEnableComfort",""
"74",74,92984,"storyEnableComfort",""
"75",75,94095,"storyEnableComfort",""
"76",76,10624,"storyEnableComfort",""
"77",77,36743,"storyEnableComfort",""
"78",78,76461,"storyEnableComfort",""
"79",79,90890,"storyEnableComfort",""
"80",80,62521,"storyEnableComfort",""
"81",81,48359,"storyEnableComfort",""
"82",82,36848,"storyEnableComfort",""
"83",83,88829,"storyEnableComfort",""
"84",84,98405,"storyEnableComfort",""
"85",85,35983,"storyEnableComfort",""
"86",86,86140,"storyEnableComfort",""
"87",87,52227,"storyEnableComfort",""
"88",88,90787,"storyEnableComfort",""
"89",89,26552,"storyEnableComfort",""
"90",90,46901,"storyEnableComfort",""
"91",91,66826,"storyEnableComfort",""
"92",92,84932,"storyEnableComfort",""
"93",93,45846,"storyEnableComfort",""
"94",94,35955,"storyEnableComfort",""
"95",95,99022,"storyEnableComfort",""
"96",96,44520,"storyEnableComfort",""
"97",97,32790,"storyEnableComfort",""
"98",98,29927,"storyEnableComfort",""
"99",99,59401,"storyEnableComfort",""
"100",100,96255,"storyEnableComfort",""
"101",101,89436,"storyEnableComfort",""
"102",102,49584,"storyEnableComfort","5"
"103",103,23672,"storyEnableComfort",""
"104",104,12966,"storyEnableComfort",""
"105",105,52362,"storyEnableComfort",""
"106",106,76477,"storyEnableComfort","5"
"107",107,46283,"storyEnableComfort","3"
"108",108,64853,"storyEnableComfort",""
"109",109,30193,"storyEnableComfort","5"
"110",110,33310,"storyEnableComfort",""
"111",111,36850,"storyEnableComfort",""
"112",112,95330,"storyEnableComfort","5"
"113",113,23172,"storyEnableComfort",""
"114",114,47486,"storyEnableComfort",""
"115",115,98648,"storyEnableComfort",""
"116",116,11896,"storyEnableComfort","5"
"117",117,10594,"storyEnableComfort","3"
"118",118,18881,"storyEnableComfort",""
"119",119,15925,"storyEnableComfort",""
"120",120,29081,"storyEnableComfort",""
"121",121,96908,"storyEnableComfort","5"
"122",122,72365,"storyEnableComfort",""
"123",123,25293,"storyEnableComfort",""
"124",124,10549,"storyEnableComfort",""
"125",125,51229,"storyEnableComfort","5"
"126",126,57313,"storyEnableComfort",""
"127",127,63420,"storyEnableComfort",""
"128",128,22183,"storyEnableComfort",""
"129",129,19794,"storyEnableComfort",""
"130",130,14122,"storyEnableComfort",""
"131",131,42216,"storyEnableComfort",""
"132",132,81996,"storyEnableComfort","2"
"133",133,98539,"storyEnableComfort",""
"134",134,76754,"storyEnableComfort",""
"135",135,39544,"storyEnableComfort",""
"136",136,33691,"storyEnableComfort",""
"137",137,85157,"storyEnableComfort",""
"138",138,92673,"storyEnableComfort","5"
"139",139,54323,"storyEnableComfort",""
"140",140,91008,"storyEnableComfort","5"
"141",141,14500,"storyEnableComfort",""
"142",142,31242,"storyEnableComfort",""
"143",143,78565,"storyEnableComfort",""
"144",145,42555,"storyEnableComfort",""
"145",146,33410,"storyEnableComfort",""
"146",147,16976,"storyEnableComfort",""
"147",148,23706,"storyEnableComfort",""
"148",149,14361,"storyEnableComfort",""
"149",150,24987,"storyEnableComfort",""
"150",151,87000,"storyEnableComfort",""
"151",152,70644,"storyEnableComfort","5"
"152",153,61638,"storyEnableComfort",""
"153",154,96557,"storyEnableComfort",""
"154",155,12386,"storyEnableComfort",""
"155",156,84685,"storyEnableComfort",""
"156",157,18884,"storyEnableComfort",""
"157",158,74101,"storyEnableComfort",""
"158",159,66928,"storyEnableComfort",""
"159",160,68639,"storyEnableComfort",""
"160",161,27680,"storyEnableComfort",""
"161",162,69738,"storyEnableComfort",""
"162",163,94397,"storyEnableComfort",""
"163",164,83527,"storyEnableComfort",""
"164",165,73931,"storyEnableComfort",""
"165",166,86777,"storyEnableComfort",""
"166",167,95072,"storyEnableComfort","5"
"167",168,66914,"storyEnableComfort",""
"168",169,37706,"storyEnableComfort","5"
"169",170,27081,"storyEnableComfort","2"
"170",171,15759,"storyEnableComfort","3"
"171",172,82530,"storyEnableComfort",""
"172",173,65340,"storyEnableComfort",""
"173",174,25227,"storyEnableComfort",""
"174",175,72568,"storyEnableComfort",""
"175",176,87973,"storyEnableComfort","5"
"176",177,29674,"storyEnableComfort","5"
