randomint,fraction of apps granted contacts,fraction of apps granted camera,fraction of apps granted microphone,fraction of apps granted phone,fraction of apps granted calendar,fraction of apps granted location,fraction of apps granted storage,fraction of apps granted sms,danger level of microphone,danger level of location,danger level of camera,danger level of contacts,danger level of phone,danger level of storage,danger level of calendar,danger level of sms
59382,0.090909091,0.289473684,0.238095238,0.033333333,0.125,0.222222222,0.303797468,0.153846154,5,3,5,4,4,3,3,4
38470,0.75862069,0.697674419,0.555555556,0.696428571,0.714285714,0.803571429,0.853333333,0.75,3,3,2,3,3,3,2,3
39504,0.255319149,0.25,0.409090909,0.222222222,0.5,0.375,0.35,0.294117647,2,2,2,2,2,2,2,2
21222,0.272727273,0.219512195,0.2,0.25,0.142857143,0.392857143,0.378378378,0.36,3,4,4,3,4,3,5,3
75998,0.315789474,0.384615385,0.714285714,0.363636364,0.5,0.35483871,0.524590164,0.571428571,3,3,2,3,2,2,2,2
98471,0.615384615,0.48,0.578947368,0.666666667,0.571428571,0.65625,0.709090909,0.578947368,4,4,4,4,4,4,4,4
56168,0.353846154,0.254545455,0.25,0.368421053,0.428571429,0.580246914,0.580645161,0.533333333,2,3,2,4,4,4,3,4
58714,0.378378378,0.24,0.333333333,0.341463415,0.625,0.344827586,0.509090909,0.5,3,4,4,3,4,3,4,4
76054,0.368421053,0.5,0.5,0.470588235,0.375,0.277777778,0.576923077,0.636363636,3,4,4,4,4,4,4,4
78681,0.565217391,0.5,0.666666667,0.615384615,0.333333333,0.571428571,0.535714286,0.777777778,2,4,3,3,4,2,2,4
56990,0.307692308,0.344827586,0.535714286,0.409090909,0.5,0.413043478,0.47826087,0.625,4,4,4,4,4,4,4,4
81290,0.719101124,0.605263158,0.595744681,0.643835616,0.631578947,0.738095238,0.695652174,0.702702703,3,5,5,4,3,5,5,4
21258,0.743589744,0.64516129,0.638888889,0.671641791,0.75,0.714285714,0.834951456,0.727272727,2,2,4,4,2,3,3,3
12312,0.392857143,0.357142857,0.5,0.545454545,0.285714286,0.25,0.58974359,0.533333333,1,1,1,1,1,1,1,1
44542,0.285714286,0.4,0.4375,0.333333333,0.454545455,0.358490566,0.426829268,0.483870968,5,5,5,3,4,2,3,4
90699,0.826923077,0.805555556,0.727272727,0.794871795,0.769230769,0.857142857,0.863013699,0.869565217,2,4,3,4,4,2,4,4
59438,0.166666667,0.128571429,0.189189189,0.164179104,0.2,0.292929293,0.196261682,0.291666667,4,3,3,4,4,3,3,4
33867,0.261904762,0.448275862,0.44,0.3,0.384615385,0.285714286,0.482142857,0.454545455,2,2,2,2,2,2,2,2
63086,0.363636364,0.4,0.523809524,0.32,0.666666667,0.419354839,0.46,0.25,4,2,4,2,4,4,3,3
75256,0.666666667,0.683333333,0.666666667,0.688311688,0.571428571,0.80952381,0.726495726,0.720930233,4,4,4,4,4,4,4,4
57847,0.340909091,0.24137931,0.285714286,0.379310345,0.222222222,0.371428571,0.466666667,0.45,3,4,3,4,3,3,3,4
38993,0.268656716,0.195652174,0.303030303,0.229508197,0.266666667,0.423728814,0.359550562,0.384615385,3,3,5,5,5,5,5,5
50102,0.310810811,0.403508772,0.375,0.266666667,0.4375,0.532467532,0.43220339,0.517241379,1,3,3,3,3,3,1,2
90799,0.729166667,0.757575758,0.8,0.69047619,0.8,0.869565217,0.816666667,0.772727273,4,4,4,4,4,4,4,4
13508,0.4,0.411764706,0.538461538,0.476190476,0.166666667,0.285714286,0.5,0.5,3,3,3,4,4,4,3,3
71528,0.231578947,0.405063291,0.333333333,0.230769231,0.28,0.504761905,0.430656934,0.428571429,1,3,3,3,3,2,3,3
56132,0.314285714,0.363636364,0.5625,0.363636364,0.625,0.485714286,0.469387755,0.529411765,3,3,3,4,3,4,3,3
90655,0.333333333,0.3,0.315789474,0.35483871,0.5,0.321428571,0.390243902,0.5625,2,4,4,2,2,4,2,2
34832,0.386363636,0.19047619,0.411764706,0.317073171,0.333333333,0.34375,0.36,0.380952381,3,3,4,4,4,4,3,4
30637,0.473684211,0.333333333,0.444444444,0.461538462,0.285714286,0.529411765,0.45,0.571428571,2,4,5,2,4,4,1,4
86341,0.363636364,0.394736842,0.393939394,0.432432432,0.555555556,0.25,0.523809524,0.636363636,4,5,5,5,4,5,3,4
39787,0.282051282,0.173913043,0.214285714,0.291666667,0.142857143,0.548387097,0.391304348,0.352941176,3,3,5,5,5,4,1,3
50478,0.339285714,0.409090909,0.321428571,0.444444444,0.357142857,0.433962264,0.478873239,0.413793103,4,4,3,3,4,2,3,4
10786,0.245614035,0.319148936,0.318181818,0.270833333,0.75,0.651515152,0.442105263,0.277777778,2,4,4,2,3,4,2,3
11447,0.277777778,0.242424242,0.157894737,0.25,0.5,0.212121212,0.31372549,0.375,4,4,4,4,4,4,4,4
43333,0.25,0.428571429,0.533333333,0.363636364,0.333333333,0.516129032,0.43902439,0.454545455,2,2,2,2,2,2,1,1
22032,0.315789474,0.35,0.352941176,0.321428571,0.272727273,0.35483871,0.444444444,0.470588235,3,4,2,5,4,3,4,4
62901,0.315789474,0.166666667,0.222222222,0.275862069,0.666666667,0.4,0.37254902,0.285714286,4,4,5,5,5,4,3,4
98938,0.657142857,0.6,0.578947368,0.619047619,0.818181818,0.676923077,0.718446602,0.666666667,4,3,2,3,2,3,3,4
70447,0.369565217,0.542857143,0.473684211,0.441176471,0.5,0.523809524,0.573770492,0.368421053,4,5,4,3,5,5,3,5
64274,0.372093023,0.607142857,0.722222222,0.394736842,0.545454545,0.513513514,0.607843137,0.555555556,3,2,4,3,5,3,1,1
98663,0.395833333,0.5,0.4,0.4,0.454545455,0.395348837,0.563636364,0.5,3,4,5,5,5,3,3,3
16733,0.277777778,0.238095238,0.222222222,0.548387097,0.222222222,0.290322581,0.333333333,0.454545455,3,3,2,2,4,2,2,3
43543,0.333333333,0.425925926,0.34375,0.309090909,0.375,0.550724638,0.466666667,0.5,3,3,4,3,3,4,2,4
32664,0.214285714,0.172413793,0.235294118,0.3,0.4,0.380952381,0.384615385,0.444444444,2,3,4,2,2,3,1,2
30922,0.454545455,0.588235294,0.6,0.421052632,0.333333333,0.421052632,0.714285714,0.538461538,3,4,4,2,2,2,1,2
22488,0.4375,0.444444444,0.571428571,0.303030303,0.333333333,0.45,0.525,0.461538462,2,4,5,2,5,2,5,5
90728,0.382352941,0.166666667,0.384615385,0.5,0.5,0.4,0.23255814,0.631578947,2,4,2,5,5,2,1,4
38371,0.323529412,0.421052632,0.53125,0.358490566,0.538461538,0.587301587,0.510869565,0.535714286,2,5,2,2,4,4,2,4
96540,0.233333333,0.219512195,0.321428571,0.263157895,0.384615385,0.237288136,0.306666667,0.384615385,3,4,4,4,3,4,2,2
56980,0.28358209,0.326530612,0.285714286,0.223880597,0.357142857,0.430769231,0.462962963,0.323529412,4,3,2,4,3,2,3,2
92984,0.382978723,0.411764706,0.391304348,0.431818182,0.6,0.382978723,0.466666667,0.571428571,2,5,5,5,5,2,2,2
94095,0.35,0.076923077,0.3,0.538461538,0.8,0.333333333,0.407407407,0.666666667,1,4,3,1,4,5,3,1
10624,0.31372549,0.516129032,0.391304348,0.355555556,0.555555556,0.291666667,0.540983607,0.538461538,4,4,3,3,3,2,1,2
36743,0.341463415,0.419354839,0.45,0.428571429,0.375,0.333333333,0.597014925,0.421052632,4,4,4,4,4,4,4,4
