TurkerID,storyPermission,storyApp,storyProblem,Ecode,Qcode
A2BZY06YRWGEDL,Microphone,Messenger I believe,They listen,mistrust the app,mistrust the app
AXT49VCFZDGW8,Location,snapchat,i couldnt use specific filters,Functionality-feature,Functionality-feature
A1MURUJBBDJWM6,Location,I believe i had had,Many services are location based,Functionality-feature,Functionality-feature
A1W7QLLENVP2AE,Location,Google Maps,It didn't register,Functionality-feature,Functionality-feature
A1N9WMQ23RWU9Q,I don't remember,There were some but,"The problem I usually encounter is that if I don't give the app access to what it asks, it won't work. I can't remember which apps gave me this issue, but it has happened in the past more than once. More than a few times, in fact.",Functionality-app,Functionality-app
AF9NBMEJ385W9,I don't remember,Fit bit,it wouldn't sync correctly,Functionality-feature,Functionality-feature
A3VIQ9XPOYB8K6,Camera,dont recall,i couldn't access it unless i gave it access,Functionality-app,Functionality-app
A3QPVH0DRW0ZQV,Camera,QR Reader,It needed to see the actual QR code to read it,Functionality-feature,Functionality-feature
A1601UNFFAAQOI,Location,It was a photo print,"Kept prompting for location services, which I didn't see as necessary and try to keep off as much as possible","Functionality-feature,unnessesary permission",unnessesary permission
A12MV66U9VGLQ1,I don't remember,Don't know..just re,I just didn't want to allow the new app those permissions so couldn't comp late installation,Functionality-app,"Functionality-app,mistrust the app"
A5X1KZ9CCHREK,Contacts,i don't remember,It don't let me use the app,Functionality-app,Functionality-app
A3EAUAU8V3B5S7,Camera,Instagram,I couldn't browse without granting access,Functionality-feature,Functionality-feature
A4T4577P6JL6R,Camera,panorama camera,the app ceased to function because it could not access the camera,Functionality-app,Functionality-app
A3U7FRXVDY12RJ,Location,square,it won't work without location access,Functionality-app,Functionality-app
A1E77HZO63E334,I don't remember,Facebook Messenger,I was not able to run the app unless I provided it permissions I am not sure it really needed.,unnessesary permission,"Functionality-app,unnessesary permission"
A1DIGREVLNOXT3,Location,I don't recall.,it did not work.,Functionality-app,Functionality-app
A3OV174HQJIJK8,Camera,chase,couldn't deposit check on mobile app without granting camera permission,Functionality-feature,Functionality-feature
A28LARVABNF9BX,I don't remember,"not sure, I have don","if you didn't allow permission, some apps won't let you use features and continue to install",Functionality-feature,Functionality-feature
A3174YB32Y52W2,Microphone,dont remember,needed access to the microphone,Functionality-feature,Functionality-feature
