turkerID1,permission1,appName1,comfortLevelApp1,changedSettings1,turkerID2,permission2,appName2,comfortLevelApp2,changedSettings2,turkerID3,permission3,appName3,comfortLevelApp3,changedSettings3,turkerID4,permission4,appName4,comfortLevelApp4,changedSettings4,turkerID5,permission5,appName5,comfortLevelApp5,changedSettings5
A1DIGREVLNOXT3,CAMERA,Facebook,3,Yes,A2DZ90CLYIB2BA,CAMERA,Instagram,5,No,A1USR9JCAMDGM3,CAMERA,Messenger,5,No,A17CM9QPETQYGH,CAMERA,Walmart,5,No,A2ASTDMWBCFIP0,CAMERA,WhatsApp,4,No
A1RDQFNF6LD25Z,CAMERA,Facebook,5,No,A3MPHGI584PR1U,CAMERA,Instagram,4,No,A10299EPNHZ504,CAMERA,Messenger,2,Yes,A2PGJXWUMD0M2l,CAMERA,Walmart,3,No,AB7LYMORLR5H0,CAMERA,WhatsApp,4,No
AB7LYMORLR5H0,CAMERA,Facebook,4,No,A3A98RH6TI83T8,CONTACTS,Instagram,4,No,A1MICIRPQ6X8B5,CAMERA,Messenger,3,No,A2SF0TUK6XTPCO,CAMERA,Walmart,3,No,A141N2XGQXKPME,CAMERA,WhatsApp,2,No
A02V2W10EPTMQ,LOCATION,Facebook,3,Yes,A1RHBUX8TCACCX,CONTACTS,Instagram,5,No,A1M682B2WUSYJP,CAMERA,Messenger,5,No,AIYJ5S5A9OR2I,CAMERA,Walmart,5,No,A2UTHR7YGLN9DC,CAMERA,WhatsApp,5,No
A35QYDS8MRV1EX,LOCATION,Facebook,5,No,A02V2W10EPTMQ,LOCATION,Instagram,3,No,A1RDQFNF6LD25Z,CAMERA,Messenger,5,No,A5T9IFDZ3W4T6,CAMERA,Walmart,5,No,A17N3LOP5HGSQ8,CAMERA,WhatsApp,4,No
A3N30TU7ZTLNB9,LOCATION,Facebook,5,No,A1N9WMQ23RWU9Q,LOCATION,Instagram,4,No,A112LUS6RHBNYB,CAMERA,Messenger,4,No,A3N30TU7ZTLNB9,LOCATION,Walmart,4,Yes,A2KVYRNL2CK95F,CONTACTS,WhatsApp,5,No
A2CYF2YSAXGB3G,LOCATION,Facebook,5,No,A3SHLGG66PJXEB,LOCATION,Instagram,3,No,A141N2XGQXKPME,CAMERA,Messenger,5,No,A3ANNQ73J8M158,LOCATION,Walmart,5,No,AUJU22WBACIBR,CONTACTS,WhatsApp,5,No
A5YVMQWA2IYPF,LOCATION,Facebook,3,No,A3VIQ9XPOYB8K6,LOCATION,Instagram,1,No,A17N3LOP5HGSQ8,CAMERA,Messenger,3,No,A5YVMQWA2IYPF,LOCATION,Walmart,3,No,AT3C00TKZK13L,CONTACTS,WhatsApp,5,No
AXAY0M3ATGPAR,STORAGE,Facebook,5,No,A2YP60DM1HYTH8,LOCATION,Instagram,5,No,A28C4YC9WPNYG2,CAMERA,Messenger,5,No,A36YZCJV91T1EX,LOCATION,Walmart,4,No,AQDJLDXG1PAF3,CONTACTS,WhatsApp,4,No
A12C01LD8TO3Y8,STORAGE,Facebook,4,No,A1F8ONXY28ROAA,LOCATION,Instagram,5,Yes,AIYJ5S5A9OR2I,CAMERA,Messenger,4,Yes,A2CYF2YSAXGB3G,LOCATION,Walmart,5,No,A3CJE20YDRGCB4,CONTACTS,WhatsApp,4,No
A3OV174HQJIJK8,STORAGE,Facebook,5,No,A1XFAUNS2LQL9H,LOCATION,Instagram,4,No,A2SF0TUK6XTPCO,CAMERA,Messenger,1,Yes,A23EWFNNOUS10B,LOCATION,Walmart,5,No,A1WOCD9SAYI07V,CONTACTS,WhatsApp,5,No
A6JOC24PSUEEC,STORAGE,Facebook,1,No,A1YTHGG0S2IJWZ,MICROPHONE,Instagram,1,No,A1UWI7N32Y2PJ8,CAMERA,Messenger,5,No,A12MV66U9VGLQ1,LOCATION,Walmart,5,No,A1NSWJKFJIZ06J,CONTACTS,WhatsApp,2,Yes
,,,,,A2QQFGD7K7AHK8,MICROPHONE,Instagram,1,No,AB8FEGGUOZXXA,CONTACTS,Messenger,3,No,A2YP60DM1HYTH8,LOCATION,Walmart,5,No,A2QIZ31TMHU0GD,MICROPHONE,WhatsApp,3,No
,,,,,A1KZ6I92SWIN75,MICROPHONE,Instagram,4,No,A2INXY39KBM92F,CONTACTS,Messenger,2,Yes,A3RVHUY67SVXQV,LOCATION,Walmart,4,No,A2B227N1NQYS56,MICROPHONE,WhatsApp,5,No
,,,,,A3U7FRXVDY12RJ,MICROPHONE,Instagram,2,No,A1V8TY7FNEJI60,CONTACTS,Messenger,4,No,ALM8YFO0272UR,LOCATION,Walmart,4,No,A2XLM2JZ0A2J8R,MICROPHONE,WhatsApp,2,Yes
,,,,,A3LL096CAY5WHB,MICROPHONE,Instagram,4,No,A1XFAUNS2LQL9H,LOCATION,Messenger,4,No,A2XSAZ0Y6HPDQA,LOCATION,Walmart,3,No,A1IMXNDHFHG2IE,MICROPHONE,WhatsApp,4,No
,,,,,AFDYZFJVIAUJ,MICROPHONE,Instagram,3,No,ALM8YFO0272UR,LOCATION,Messenger,4,No,A1XUZFDVKP95VC,STORAGE,Walmart,5,No,A3G5IPGLH1IIZN,MICROPHONE,WhatsApp,5,No
,,,,,A3P46WP16JCU2V,MICROPHONE,Instagram,5,No,A2BZY06YRWGEDL,MICROPHONE,Messenger,4,Yes,,,,,,A171WYV1TRESW8,MICROPHONE,WhatsApp,5,No
,,,,,A1MM8TSLCHVMNK,MICROPHONE,Instagram,3,No,A1TTFE7OTLIJW8,MICROPHONE,Messenger,5,No,,,,,,ANJML6J7NL7CX,MICROPHONE,WhatsApp,4,No
,,,,,A1HM2VBI4T638R,MICROPHONE,Instagram,1,No,A3VHDQR8A9JJ4F,MICROPHONE,Messenger,4,No,,,,,,A2I3FCE7LMITQS,MICROPHONE,WhatsApp,5,No
,,,,,A3AN4TL6DFO4D2,MICROPHONE,Instagram,5,No,A2P76QVLSGJR45,MICROPHONE,Messenger,2,No,,,,,,A1W7QLLENVP2AE,MICROPHONE,WhatsApp,5,No
,,,,,A1CB2A9NEL2D7E,MICROPHONE,Instagram,2,No,A21KGSK2BDVWOA,MICROPHONE,Messenger,4,No,,,,,,A133QG754CGS3I,PHONE,WhatsApp,5,No
,,,,,A2BZY06YRWGEDL,MICROPHONE,Instagram,4,Yes,A7BEUXS3FTZTH,MICROPHONE,Messenger,4,No,,,,,,A1PP6DN7HB6Q9P,STORAGE,WhatsApp,5,No
