TurkerID,number of permissions requested for microphone,number of permissions requested for location,number of permissions requested for camera,number of permissions requested for contacts,number of permissions requested for phone,number of permissions requested for storage,number of permissions requested for calendar,number of permissions requested sensor,number of permissions requested sms,number of permissions granted for microphone,number of permissions granted for location,number of permissions granted for camera,number of permissions granted for contacts,number of permissions granted for phone,number of permissions granted for storage,number of permissions granted for calendar,number of permissions granted sensor,number of permissions granted sms,danger level of microphone,danger level of location,danger level of camera,danger level of contacts,danger level of phone,danger level of storage,danger level of calendar,danger level of sensor,danger level of sms
A4IH4CO046EV3,15,30,21,27,26,39,3,1,9,3,13,5,4,5,15,0,1,0,2,2,4,4,4,4,1,1,4
A2BZY06YRWGEDL,24,57,45,58,47,102,11,0,16,8,22,18,18,18,47,4,0,5,5,3,5,4,4,3,3,3,4
A1Q0N5H1DXMK0V,21,36,23,34,34,87,1,0,9,7,20,12,10,20,57,0,0,5,4,2,3,4,2,4,3,3,3
A3B9M6H2PTCQWX,16,33,30,29,22,51,2,0,9,7,20,12,11,6,22,0,0,2,3,4,3,4,4,2,3,2,4
A1YM0IWPC72J7V,10,10,15,18,12,18,3,0,9,3,4,4,4,4,4,0,0,2,2,4,5,2,4,5,2,4,4
A1HUWK2J3GF1OY,15,13,16,20,12,25,1,1,8,6,5,9,9,6,11,0,0,3,2,3,4,3,4,2,2,3,2
AXT49VCFZDGW8,6,12,9,12,12,18,0,0,1,2,7,3,2,2,7,0,0,1,2,2,2,2,0,1,5,2,4
A1L3937MY09J3I,1,4,3,3,2,7,0,0,1,0,2,2,2,1,1,0,0,0,3,4,3,3,4,3,3,3,3
A94DL4GI8ZBUO,5,14,8,11,11,16,1,0,3,2,6,2,3,4,6,0,0,1,2,2,1,3,2,4,2,2,3
A23EWFNNOUS10B,3,6,3,10,6,16,4,0,4,0,5,0,4,4,8,2,0,4,3,3,4,4,3,4,3,3,3
A1MURUJBBDJWM6,37,62,44,62,59,81,15,1,32,21,51,31,48,42,70,11,1,24,3,3,2,3,3,3,2,3,3
A20MYUKGSXUKM7,24,52,45,52,41,67,8,0,18,11,22,15,17,13,28,4,0,6,2,2,2,2,2,2,2,2,2
AB7LYMORLR5H0,7,10,8,12,11,19,3,0,6,4,4,3,5,6,14,2,0,3,3,4,4,4,4,4,4,4,4
A3774HPOUKYTX7,30,62,43,64,41,84,14,0,25,6,28,11,24,14,38,2,0,9,3,4,4,3,4,3,5,4,3
A1N9WMQ23RWU9Q,25,34,31,44,28,78,9,0,16,19,14,15,18,14,49,5,0,10,3,3,2,3,2,2,2,2,2
A33S9Z0SQC71A0,20,35,30,42,27,60,7,0,19,12,24,17,27,19,44,4,0,11,4,4,4,4,4,4,4,4,4
A1DS5O8MSI3ZH0,39,91,59,72,66,107,14,2,33,12,57,18,30,30,68,6,1,19,2,3,2,4,4,4,3,4,4
APY5858P6BTDY,20,30,28,44,48,63,9,1,27,8,11,9,21,21,36,6,1,15,3,4,4,3,4,3,4,4,4
A1W7QLLENVP2AE,4,12,10,11,10,14,1,0,5,3,10,8,8,7,12,1,0,4,3,4,2,2,3,3,3,3,3
AB7LYMORLR5H0,10,19,10,20,20,29,8,0,11,5,6,5,8,11,18,3,0,7,3,4,4,4,4,4,4,4,4
A37CO0N1KC1CDW,8,16,15,25,15,32,7,0,10,6,10,9,15,10,19,3,0,8,2,4,3,3,4,2,2,4,4
