TurkerID,randomint,number of apps requested microphone,number of apps requested location,number of apps requested camera,number of apps requested contacts,number of apps requested phone,number of apps requested storage,number of apps requested calendar,number of apps requested sms,number of apps granted microphone,number of apps granted location,number of apps granted camera,number of apps granted contacts,number of apps granted phone,number of apps granted storage,number of apps granted calendar,number of apps granted sms,fraction of apps granted microphone,fraction of apps granted location,fraction of apps granted camera,fraction of apps granted contacts,fraction of apps granted phone,fraction of apps granted storage,fraction of apps granted calendar,fraction of apps granted sensor,fraction of apps granted sms,danger level of microphone,danger level of location,danger level of camera,danger level of contacts,danger level of phone,danger level of storage,danger level of calendar,danger level of sensor,danger level of sms
A2BZY06YRWGEDL,59382,21,45,38,44,30,79,8,13,5,10,11,4,1,24,1,2,0.238095238,0.222222222,0.289473684,0.090909091,0.033333333,0.303797468,0.125,0,0.153846154,5,3,5,4,4,3,3,3,4
A1MURUJBBDJWM6,38470,36,56,43,58,56,75,14,32,20,45,30,44,39,64,10,24,0.555555556,0.803571429,0.697674419,0.75862069,0.696428571,0.853333333,0.714285714,0,0.75,3,3,2,3,3,3,2,3,3
A20MYUKGSXUKM7,39504,22,48,40,47,36,60,8,17,9,18,10,12,8,21,4,5,0.409090909,0.375,0.25,0.255319149,0.222222222,0.35,0.5,0,0.294117647,2,2,2,2,2,2,2,2,2
A3774HPOUKYTX7,21222,30,56,41,55,36,74,14,25,6,22,9,15,9,28,2,9,0.2,0.392857143,0.219512195,0.272727273,0.25,0.378378378,0.142857143,0,0.36,3,4,4,3,4,3,5,4,3
A1N9WMQ23RWU9Q,75998,21,31,26,38,22,61,8,14,15,11,10,12,8,32,4,8,0.714285714,0.35483871,0.384615385,0.315789474,0.363636364,0.524590164,0.5,0,0.571428571,3,3,2,3,2,2,2,2,2
A33S9Z0SQC71A0,98471,19,32,25,39,24,55,7,19,11,21,12,24,16,39,4,11,0.578947368,0.65625,0.48,0.615384615,0.666666667,0.709090909,0.571428571,0,0.578947368,4,4,4,4,4,4,4,4,4
A1DS5O8MSI3ZH0,56168,36,81,55,65,57,93,14,30,9,47,14,23,21,54,6,16,0.25,0.580246914,0.254545455,0.353846154,0.368421053,0.580645161,0.428571429,0,0.533333333,2,3,2,4,4,4,3,4,4
APY5858P6BTDY,58714,18,29,25,37,41,55,8,24,6,10,6,14,14,28,5,12,0.333333333,0.344827586,0.24,0.378378378,0.341463415,0.509090909,0.625,0,0.5,3,4,4,3,4,3,4,4,4
AB7LYMORLR5H0,76054,10,18,10,19,17,26,8,11,5,5,5,7,8,15,3,7,0.5,0.277777778,0.5,0.368421053,0.470588235,0.576923077,0.375,0,0.636363636,3,4,4,4,4,4,4,4,4
A37CO0N1KC1CDW,78681,6,14,12,23,13,28,6,9,4,8,6,13,8,15,2,7,0.666666667,0.571428571,0.5,0.565217391,0.615384615,0.535714286,0.333333333,0,0.777777778,2,4,3,3,4,2,2,4,4
A1USR9JCAMDGM3,56990,28,46,29,39,44,69,12,24,15,19,10,12,18,33,6,15,0.535714286,0.413043478,0.344827586,0.307692308,0.409090909,0.47826087,0.5,0,0.625,4,4,4,4,4,4,4,4,4
A1RDRK3QTM7U96,81290,47,84,76,89,73,115,19,37,28,62,46,64,47,80,12,26,0.595744681,0.738095238,0.605263158,0.719101124,0.643835616,0.695652174,0.631578947,0,0.702702703,3,5,5,4,3,5,5,5,4
AF9NBMEJ385W9,21258,36,70,62,78,67,103,16,33,23,50,40,58,45,86,12,24,0.638888889,0.714285714,0.64516129,0.743589744,0.671641791,0.834951456,0.75,0,0.727272727,2,2,4,4,2,3,3,3,3
AEXF5EUX32U0M,12312,12,24,14,28,22,39,7,15,6,6,5,11,12,23,2,8,0.5,0.25,0.357142857,0.392857143,0.545454545,0.58974359,0.285714286,0,0.533333333,1,1,1,1,1,1,1,1,1
A3VIQ9XPOYB8K6,44542,32,53,45,56,54,82,11,31,14,19,18,16,18,35,5,15,0.4375,0.358490566,0.4,0.285714286,0.333333333,0.426829268,0.454545455,0,0.483870968,5,5,5,3,4,2,3,2,4
A3B7TNVOISSZ2O,90699,22,49,36,52,39,73,13,23,16,42,29,43,31,63,10,20,0.727272727,0.857142857,0.805555556,0.826923077,0.794871795,0.863013699,0.769230769,0,0.869565217,2,4,3,4,4,2,4,2,4
A110KENBXU7SUJ,59438,37,99,70,66,67,107,15,24,7,29,9,11,11,21,3,7,0.189189189,0.292929293,0.128571429,0.166666667,0.164179104,0.196261682,0.2,0,0.291666667,4,3,3,4,4,3,3,3,4
A2JCHN90PRUWDH,33867,25,35,29,42,40,56,13,22,11,10,13,11,12,27,5,10,0.44,0.285714286,0.448275862,0.261904762,0.3,0.482142857,0.384615385,0,0.454545455,2,2,2,2,2,2,2,0,2
A9WIOFVRSYW3L,63086,21,31,30,33,25,50,6,16,11,13,12,12,8,23,4,4,0.523809524,0.419354839,0.4,0.363636364,0.32,0.46,0.666666667,0,0.25,4,2,4,2,4,4,3,3,3
A3QPVH0DRW0ZQV,75256,42,84,60,90,77,117,21,43,28,68,41,60,53,85,12,31,0.666666667,0.80952381,0.683333333,0.666666667,0.688311688,0.726495726,0.571428571,0,0.720930233,4,4,4,4,4,4,4,4,4
A1601UNFFAAQOI,57847,21,35,29,44,29,60,9,20,6,13,7,15,11,28,2,9,0.285714286,0.371428571,0.24137931,0.340909091,0.379310345,0.466666667,0.222222222,0,0.45,3,4,3,4,3,3,3,2,4
A12MV66U9VGLQ1,38993,33,59,46,67,61,89,15,26,10,25,9,18,14,32,4,10,0.303030303,0.423728814,0.195652174,0.268656716,0.229508197,0.359550562,0.266666667,0,0.384615385,3,3,5,5,5,5,5,5,5
A1JO6AY55FG7QU,50102,40,77,57,74,75,118,16,29,15,41,23,23,20,51,7,15,0.375,0.532467532,0.403508772,0.310810811,0.266666667,0.43220339,0.4375,0,0.517241379,1,3,3,3,3,3,1,1,2
A1NSWJKFJIZ06J,90799,25,46,33,48,42,60,10,22,20,40,25,35,29,49,8,17,0.8,0.869565217,0.757575758,0.729166667,0.69047619,0.816666667,0.8,0,0.772727273,4,4,4,4,4,4,4,4,4
A1M682B2WUSYJP,13508,13,21,17,20,21,40,6,10,7,6,7,8,10,20,1,5,0.538461538,0.285714286,0.411764706,0.4,0.476190476,0.5,0.166666667,0,0.5,3,3,3,4,4,4,3,3,3
ADIAEAPYRI8CK,71528,51,105,79,95,78,137,25,35,17,53,32,22,18,59,7,15,0.333333333,0.504761905,0.405063291,0.231578947,0.230769231,0.430656934,0.28,0,0.428571429,1,3,3,3,3,2,3,3,3
A34ZP0QJMB8X45,56132,16,35,33,35,33,49,8,17,9,17,12,11,12,23,5,9,0.5625,0.485714286,0.363636364,0.314285714,0.363636364,0.469387755,0.625,0,0.529411765,3,3,3,4,3,4,3,3,3
A3EAUAU8V3B5S7,90655,19,28,20,33,31,41,8,16,6,9,6,11,11,16,4,9,0.315789474,0.321428571,0.3,0.333333333,0.35483871,0.390243902,0.5,0,0.5625,2,4,4,2,2,4,2,2,2
A2QIZ31TMHU0GD,34832,17,32,21,44,41,50,9,21,7,11,4,17,13,18,3,8,0.411764706,0.34375,0.19047619,0.386363636,0.317073171,0.36,0.333333333,0,0.380952381,3,3,4,4,4,4,3,4,4
AT3C00TKZK13L,30637,9,17,9,19,13,20,7,7,4,9,3,9,6,9,2,4,0.444444444,0.529411765,0.333333333,0.473684211,0.461538462,0.45,0.285714286,0,0.571428571,2,4,5,2,4,4,1,2,4
A4T4577P6JL6R,86341,33,44,38,44,37,84,9,22,13,11,15,16,16,44,5,14,0.393939394,0.25,0.394736842,0.363636364,0.432432432,0.523809524,0.555555556,0,0.636363636,4,5,5,5,4,5,3,5,4
A1F8ONXY28ROAA,39787,14,31,23,39,24,46,14,17,3,17,4,11,7,18,2,6,0.214285714,0.548387097,0.173913043,0.282051282,0.291666667,0.391304348,0.142857143,0,0.352941176,3,3,5,5,5,4,1,3,3
A3U7FRXVDY12RJ,50478,28,53,44,56,45,71,14,29,9,23,18,19,20,34,5,12,0.321428571,0.433962264,0.409090909,0.339285714,0.444444444,0.478873239,0.357142857,0,0.413793103,4,4,3,3,4,2,3,3,4
A1E77HZO63E334,10786,22,66,47,57,48,95,8,18,7,43,15,14,13,42,6,5,0.318181818,0.651515152,0.319148936,0.245614035,0.270833333,0.442105263,0.75,0,0.277777778,2,4,4,2,3,4,2,3,3
A1DIGREVLNOXT3,11447,19,33,33,36,28,51,8,16,3,7,8,10,7,16,4,6,0.157894737,0.212121212,0.242424242,0.277777778,0.25,0.31372549,0.5,0,0.375,4,4,4,4,4,4,4,4,4
A1WTIPXQDJIMUI,43333,15,31,21,32,22,41,9,11,8,16,9,8,8,18,3,5,0.533333333,0.516129032,0.428571429,0.25,0.363636364,0.43902439,0.333333333,0,0.454545455,2,2,2,2,2,2,1,1,1
A3OV174HQJIJK8,22032,17,31,20,38,28,45,11,17,6,11,7,12,9,20,3,8,0.352941176,0.35483871,0.35,0.315789474,0.321428571,0.444444444,0.272727273,0,0.470588235,3,4,2,5,4,3,4,3,4
A3SHLGG66PJXEB,62901,18,40,30,38,29,51,6,14,4,16,5,12,8,19,4,4,0.222222222,0.4,0.166666667,0.315789474,0.275862069,0.37254902,0.666666667,0,0.285714286,4,4,5,5,5,4,3,4,4
A3AN4TL6DFO4D2,98938,38,65,55,70,63,103,11,30,22,44,33,46,39,74,9,20,0.578947368,0.676923077,0.6,0.657142857,0.619047619,0.718446602,0.818181818,0,0.666666667,4,3,2,3,2,3,3,3,4
A21SIPO89DP66I,70447,19,42,35,46,34,61,10,19,9,22,19,17,15,35,5,7,0.473684211,0.523809524,0.542857143,0.369565217,0.441176471,0.573770492,0.5,0,0.368421053,4,5,4,3,5,5,3,3,5
A28LARVABNF9BX,64274,18,37,28,43,38,51,11,18,13,19,17,16,15,31,6,10,0.722222222,0.513513514,0.607142857,0.372093023,0.394736842,0.607843137,0.545454545,0,0.555555556,3,2,4,3,5,3,1,3,1
A3174YB32Y52W2,98663,25,43,34,48,45,55,11,30,10,17,17,19,18,31,5,15,0.4,0.395348837,0.5,0.395833333,0.4,0.563636364,0.454545455,0,0.5,3,4,5,5,5,3,3,3,3
A2BN1CX0PTWBXW,16733,18,31,21,36,31,45,9,22,4,9,5,10,17,15,2,10,0.222222222,0.290322581,0.238095238,0.277777778,0.548387097,0.333333333,0.222222222,0,0.454545455,3,3,2,2,4,2,2,2,3
A3GDUZQGHRXUJI,43543,32,69,54,63,55,90,16,30,11,38,23,21,17,42,6,15,0.34375,0.550724638,0.425925926,0.333333333,0.309090909,0.466666667,0.375,0,0.5,3,3,4,3,3,4,2,4,4
A3SG23IVI6PS0L,32664,17,42,29,42,40,52,10,18,4,16,5,9,12,20,4,8,0.235294118,0.380952381,0.172413793,0.214285714,0.3,0.384615385,0.4,0,0.444444444,2,3,4,2,2,3,1,2,2
