TurkerID,number of apps requested microphone,number of apps requested location,number of apps requested camera,number of apps requested contacts,number of apps requested phone,number of apps requested storage,number of apps requested calendar,number of apps requested sensor,number of apps requested sms,number of apps granted microphone,number of apps granted location,number of apps granted camera,number of apps granted contacts,number of apps granted phone,number of apps granted storage,number of apps granted calendar,number of apps granted sensor,number of apps granted sms,fraction of apps granted microphone,fraction of apps granted location,fraction of apps granted camera,fraction of apps granted contacts,fraction of apps granted phone,fraction of apps granted storage,fraction of apps granted calendar,fraction of apps granted sensor,fraction of apps granted sms
A4IH4CO046EV3,15,30,21,27,26,39,3,1,9,3,13,5,4,5,15,0,1,0,0.2,0.433333333,0.238095238,0.148148148,0.192307692,0.384615385,0,1,0
A2BZY06YRWGEDL,24,57,45,58,47,102,11,0,16,8,22,18,18,18,47,4,0,5,0.333333333,0.385964912,0.4,0.310344828,0.382978723,0.460784314,0.363636364,0,0.3125
A1Q0N5H1DXMK0V,21,36,23,34,34,87,1,0,9,7,20,12,10,20,57,0,0,5,0.333333333,0.555555556,0.52173913,0.294117647,0.588235294,0.655172414,0,0,0.555555556
A3B9M6H2PTCQWX,16,33,30,29,22,51,2,0,9,7,20,12,11,6,22,0,0,2,0.4375,0.606060606,0.4,0.379310345,0.272727273,0.431372549,0,0,0.222222222
A1YM0IWPC72J7V,10,10,15,18,12,18,3,0,9,3,4,4,4,4,4,0,0,2,0.3,0.4,0.266666667,0.222222222,0.333333333,0.222222222,0,0,0.222222222
A1HUWK2J3GF1OY,15,13,16,20,12,25,1,1,8,6,5,9,9,6,11,0,0,3,0.4,0.384615385,0.5625,0.45,0.5,0.44,0,0,0.375
AXT49VCFZDGW8,6,12,9,12,12,18,0,0,1,2,7,3,2,2,7,0,0,1,0.333333333,0.583333333,0.333333333,0.166666667,0.166666667,0.388888889,0,0,1
A1L3937MY09J3I,1,4,3,3,2,7,0,0,1,0,2,2,2,1,1,0,0,0,0,0.5,0.666666667,0.666666667,0.5,0.142857143,0,0,0
A94DL4GI8ZBUO,5,14,8,11,11,16,1,0,3,2,6,2,3,4,6,0,0,1,0.4,0.428571429,0.25,0.272727273,0.363636364,0.375,0,0,0.333333333
A23EWFNNOUS10B,3,6,3,10,6,16,4,0,4,0,5,0,4,4,8,2,0,4,0,0.833333333,0,0.4,0.666666667,0.5,0.5,0,1
A1MURUJBBDJWM6,37,62,44,62,59,81,15,1,32,21,51,31,48,42,70,11,1,24,0.567567568,0.822580645,0.704545455,0.774193548,0.711864407,0.864197531,0.733333333,1,0.75
A20MYUKGSXUKM7,24,52,45,52,41,67,8,0,18,11,22,15,17,13,28,4,0,6,0.458333333,0.423076923,0.333333333,0.326923077,0.317073171,0.417910448,0.5,0,0.333333333
AB7LYMORLR5H0,7,10,8,12,11,19,3,0,6,4,4,3,5,6,14,2,0,3,0.571428571,0.4,0.375,0.416666667,0.545454545,0.736842105,0.666666667,0,0.5
A3774HPOUKYTX7,30,62,43,64,41,84,14,0,25,6,28,11,24,14,38,2,0,9,0.2,0.451612903,0.255813953,0.375,0.341463415,0.452380952,0.142857143,0,0.36
A1N9WMQ23RWU9Q,25,34,31,44,28,78,9,0,16,19,14,15,18,14,49,5,0,10,0.76,0.411764706,0.483870968,0.409090909,0.5,0.628205128,0.555555556,0,0.625
A33S9Z0SQC71A0,20,35,30,42,27,60,7,0,19,12,24,17,27,19,44,4,0,11,0.6,0.685714286,0.566666667,0.642857143,0.703703704,0.733333333,0.571428571,0,0.578947368
A1DS5O8MSI3ZH0,39,91,59,72,66,107,14,2,33,12,57,18,30,30,68,6,1,19,0.307692308,0.626373626,0.305084746,0.416666667,0.454545455,0.635514019,0.428571429,0.5,0.575757576
APY5858P6BTDY,20,30,28,44,48,63,9,1,27,8,11,9,21,21,36,6,1,15,0.4,0.366666667,0.321428571,0.477272727,0.4375,0.571428571,0.666666667,1,0.555555556
A1W7QLLENVP2AE,4,12,10,11,10,14,1,0,5,3,10,8,8,7,12,1,0,4,0.75,0.833333333,0.8,0.727272727,0.7,0.857142857,1,0,0.8
AB7LYMORLR5H0,10,19,10,20,20,29,8,0,11,5,6,5,8,11,18,3,0,7,0.5,0.315789474,0.5,0.4,0.55,0.620689655,0.375,0,0.636363636
A37CO0N1KC1CDW,8,16,15,25,15,32,7,0,10,6,10,9,15,10,19,3,0,8,0.75,0.625,0.6,0.6,0.666666667,0.59375,0.428571429,0,0.8
A1USR9JCAMDGM3,34,50,33,43,57,84,13,1,25,21,23,14,16,31,48,7,1,16,0.617647059,0.46,0.424242424,0.372093023,0.543859649,0.571428571,0.538461538,1,0.64
A1RDRK3QTM7U96,53,92,82,98,83,131,19,2,39,34,70,52,73,57,96,12,1,28,0.641509434,0.760869565,0.634146341,0.744897959,0.686746988,0.732824427,0.631578947,0.5,0.717948718
AF9NBMEJ385W9,45,82,75,93,78,125,18,2,36,32,62,53,73,56,108,14,1,27,0.711111111,0.756097561,0.706666667,0.784946237,0.717948718,0.864,0.777777778,0.5,0.75
AEXF5EUX32U0M,15,24,15,30,22,41,7,0,15,9,6,6,13,12,25,2,0,8,0.6,0.25,0.4,0.433333333,0.545454545,0.609756098,0.285714286,0,0.533333333
A3VIQ9XPOYB8K6,33,57,48,59,56,88,11,1,32,15,23,21,19,20,41,5,1,16,0.454545455,0.403508772,0.4375,0.322033898,0.357142857,0.465909091,0.454545455,1,0.5
A3B7TNVOISSZ2O,28,59,45,59,47,87,13,1,25,22,52,38,50,39,77,10,1,22,0.785714286,0.881355932,0.844444444,0.847457627,0.829787234,0.885057471,0.769230769,1,0.88
A110KENBXU7SUJ,39,124,81,81,82,134,16,1,24,9,54,20,26,26,48,4,0,7,0.230769231,0.435483871,0.24691358,0.320987654,0.317073171,0.358208955,0.25,0,0.291666667
A2JCHN90PRUWDH,27,37,32,47,43,61,13,2,24,13,12,16,16,15,32,5,1,12,0.481481481,0.324324324,0.5,0.340425532,0.348837209,0.524590164,0.384615385,0.5,0.5
A9WIOFVRSYW3L,21,34,34,37,27,55,7,1,16,11,16,16,16,10,28,5,0,4,0.523809524,0.470588235,0.470588235,0.432432432,0.37037037,0.509090909,0.714285714,0,0.25
A3QPVH0DRW0ZQV,50,95,69,107,95,142,24,3,47,36,79,50,77,71,110,15,1,35,0.72,0.831578947,0.724637681,0.719626168,0.747368421,0.774647887,0.625,0.333333333,0.744680851
A1601UNFFAAQOI,23,38,31,47,30,64,9,0,20,8,16,9,18,12,32,2,0,9,0.347826087,0.421052632,0.290322581,0.382978723,0.4,0.5,0.222222222,0,0.45
A12MV66U9VGLQ1,38,62,48,72,67,98,16,3,26,15,28,11,23,20,41,5,0,10,0.394736842,0.451612903,0.229166667,0.319444444,0.298507463,0.418367347,0.3125,0,0.384615385
A1JO6AY55FG7QU,45,92,61,84,89,138,16,1,32,20,56,27,33,34,71,7,1,18,0.444444444,0.608695652,0.442622951,0.392857143,0.382022472,0.514492754,0.4375,1,0.5625
A1NSWJKFJIZ06J,30,61,38,59,52,75,11,0,27,25,55,30,46,39,64,9,0,22,0.833333333,0.901639344,0.789473684,0.779661017,0.75,0.853333333,0.818181818,0,0.814814815
A5X1KZ9CCHREK,8,17,11,22,24,32,5,0,12,7,7,6,13,11,16,2,0,9,0.875,0.411764706,0.545454545,0.590909091,0.458333333,0.5,0.4,0,0.75
A1M682B2WUSYJP,15,24,18,27,25,50,8,0,13,9,9,8,15,14,30,3,0,8,0.6,0.375,0.444444444,0.555555556,0.56,0.6,0.375,0,0.615384615
ADIAEAPYRI8CK,56,116,89,105,89,159,25,1,36,22,64,42,32,29,81,7,1,16,0.392857143,0.551724138,0.471910112,0.304761905,0.325842697,0.509433962,0.28,1,0.444444444
A34ZP0QJMB8X45,18,38,34,38,36,52,8,0,18,11,20,13,14,15,26,5,0,10,0.611111111,0.526315789,0.382352941,0.368421053,0.416666667,0.5,0.625,0,0.555555556
A3EAUAU8V3B5S7,19,28,21,34,31,42,8,1,16,6,9,7,12,11,17,4,0,9,0.315789474,0.321428571,0.333333333,0.352941176,0.35483871,0.404761905,0.5,0,0.5625
A2QIZ31TMHU0GD,19,37,23,48,46,55,9,1,21,9,16,6,21,18,23,3,0,8,0.473684211,0.432432432,0.260869565,0.4375,0.391304348,0.418181818,0.333333333,0,0.380952381
AT3C00TKZK13L,9,17,9,19,13,20,7,0,7,4,9,3,9,6,9,2,0,4,0.444444444,0.529411765,0.333333333,0.473684211,0.461538462,0.45,0.285714286,0,0.571428571
A4T4577P6JL6R,38,49,42,47,46,100,9,0,23,18,16,19,19,25,60,5,0,15,0.473684211,0.326530612,0.452380952,0.404255319,0.543478261,0.6,0.555555556,0,0.652173913
A1F8ONXY28ROAA,15,33,24,41,27,48,14,1,19,4,19,5,13,10,20,2,0,8,0.266666667,0.575757576,0.208333333,0.317073171,0.37037037,0.416666667,0.142857143,0,0.421052632
A3U7FRXVDY12RJ,29,58,53,62,50,79,15,2,31,10,28,27,25,25,42,6,1,14,0.344827586,0.482758621,0.509433962,0.403225806,0.5,0.53164557,0.4,0.5,0.451612903
A1E77HZO63E334,25,82,53,71,62,113,8,0,19,10,59,21,28,27,60,6,0,6,0.4,0.719512195,0.396226415,0.394366197,0.435483871,0.530973451,0.75,0,0.315789474
A1DIGREVLNOXT3,20,35,33,37,30,53,8,0,17,4,9,8,11,9,18,4,0,7,0.2,0.257142857,0.242424242,0.297297297,0.3,0.339622642,0.5,0,0.411764706
A1WTIPXQDJIMUI,17,38,25,36,26,48,9,0,14,10,23,13,12,12,25,3,0,8,0.588235294,0.605263158,0.52,0.333333333,0.461538462,0.520833333,0.333333333,0,0.571428571
A3OV174HQJIJK8,19,33,23,41,29,49,11,0,18,8,13,10,15,10,24,3,0,9,0.421052632,0.393939394,0.434782609,0.365853659,0.344827586,0.489795918,0.272727273,0,0.5
A3SHLGG66PJXEB,21,41,34,42,33,56,6,0,15,7,17,9,16,12,24,4,0,5,0.333333333,0.414634146,0.264705882,0.380952381,0.363636364,0.428571429,0.666666667,0,0.333333333
A3AN4TL6DFO4D2,39,70,59,77,71,117,11,2,31,23,49,37,53,47,88,9,1,21,0.58974359,0.7,0.627118644,0.688311688,0.661971831,0.752136752,0.818181818,0.5,0.677419355
A21SIPO89DP66I,20,45,38,49,37,69,10,0,20,10,25,22,20,18,43,5,0,8,0.5,0.555555556,0.578947368,0.408163265,0.486486486,0.623188406,0.5,0,0.4
A3609GDWR2JCCA,16,22,16,26,23,39,4,0,11,9,9,7,15,14,25,1,0,7,0.5625,0.409090909,0.4375,0.576923077,0.608695652,0.641025641,0.25,0,0.636363636
A28LARVABNF9BX,20,43,32,45,43,57,11,1,19,15,25,21,18,20,37,6,1,11,0.75,0.581395349,0.65625,0.4,0.465116279,0.649122807,0.545454545,1,0.578947368
A3174YB32Y52W2,26,45,35,49,47,58,12,1,31,11,19,18,20,20,34,6,1,16,0.423076923,0.422222222,0.514285714,0.408163265,0.425531915,0.586206897,0.5,1,0.516129032
A2BN1CX0PTWBXW,18,31,21,36,31,45,9,2,22,4,9,5,10,17,15,2,1,10,0.222222222,0.290322581,0.238095238,0.277777778,0.548387097,0.333333333,0.222222222,0.5,0.454545455
A3GDUZQGHRXUJI,34,74,58,66,59,99,16,2,30,13,43,27,24,21,51,6,1,15,0.382352941,0.581081081,0.465517241,0.363636364,0.355932203,0.515151515,0.375,0.5,0.5
A3SG23IVI6PS0L,18,46,31,44,44,56,10,0,19,5,20,7,11,16,24,4,0,9,0.277777778,0.434782609,0.225806452,0.25,0.363636364,0.428571429,0.4,0,0.473684211
A2B227N1NQYS56,15,21,18,23,19,30,6,0,13,9,10,11,11,8,22,2,0,7,0.6,0.476190476,0.611111111,0.47826087,0.421052632,0.733333333,0.333333333,0,0.538461538
A256FHXGSY0E5D,4,7,2,8,9,19,2,0,2,1,2,1,5,4,9,1,0,1,0.25,0.285714286,0.5,0.625,0.444444444,0.473684211,0.5,0,0.5
AZZA3J049G7R5,16,21,20,32,33,41,9,0,13,10,10,10,14,10,22,3,0,6,0.625,0.476190476,0.5,0.4375,0.303030303,0.536585366,0.333333333,0,0.461538462
A2XLM2JZ0A2J8R,10,21,10,28,18,43,5,0,14,5,11,3,16,13,31,2,0,10,0.5,0.523809524,0.3,0.571428571,0.722222222,0.720930233,0.4,0,0.714285714
AAQREZOK13OV7,13,31,18,35,23,45,6,1,19,5,13,3,14,12,12,3,0,12,0.384615385,0.419354839,0.166666667,0.4,0.52173913,0.266666667,0.5,0,0.631578947
A2BP8SSKYDZZ64,34,72,63,78,63,106,13,1,31,19,46,30,32,29,61,7,1,18,0.558823529,0.638888889,0.476190476,0.41025641,0.46031746,0.575471698,0.538461538,1,0.580645161
A3S5ZB4D98JWT1,32,64,47,66,61,84,13,2,27,13,19,15,20,19,32,5,0,11,0.40625,0.296875,0.319148936,0.303030303,0.31147541,0.380952381,0.384615385,0,0.407407407
A2SE5QBXBBDL3N,39,75,56,74,76,122,15,1,37,14,38,23,26,24,64,6,0,14,0.358974359,0.506666667,0.410714286,0.351351351,0.315789474,0.524590164,0.4,0,0.378378378
A1378TVZLWPT2Z,23,48,35,48,45,62,10,1,28,9,19,15,19,20,30,6,1,16,0.391304348,0.395833333,0.428571429,0.395833333,0.444444444,0.483870968,0.6,1,0.571428571
A14WLAP6TCEKO0,20,32,26,42,28,58,10,0,12,6,12,2,16,16,26,8,0,8,0.3,0.375,0.076923077,0.380952381,0.571428571,0.448275862,0.8,0,0.666666667
A3586AZAAHFYBX,25,49,32,54,50,66,9,1,26,11,15,17,19,21,38,5,1,14,0.44,0.306122449,0.53125,0.351851852,0.42,0.575757576,0.555555556,1,0.538461538
A3LL096CAY5WHB,23,40,36,45,41,82,8,0,22,12,16,18,18,21,55,3,0,11,0.52173913,0.4,0.5,0.4,0.512195122,0.670731707,0.375,0,0.5
A1RN7D103KUVQ1,32,74,55,76,77,108,14,1,31,13,35,19,29,25,52,5,1,15,0.40625,0.472972973,0.345454545,0.381578947,0.324675325,0.481481481,0.357142857,1,0.483870968
AAGP5VATPK8N2,41,71,61,82,64,108,12,1,31,15,23,17,20,24,43,4,1,14,0.365853659,0.323943662,0.278688525,0.243902439,0.375,0.398148148,0.333333333,1,0.451612903
A2RH621WK2VZJ0,34,61,50,63,54,89,14,2,29,10,19,9,17,16,27,6,1,12,0.294117647,0.31147541,0.18,0.26984127,0.296296296,0.303370787,0.428571429,0.5,0.413793103
A141N2XGQXKPME,19,38,26,44,36,46,10,0,24,7,11,9,16,16,19,3,0,14,0.368421053,0.289473684,0.346153846,0.363636364,0.444444444,0.413043478,0.3,0,0.583333333
A2W55J9T0JDP2O,72,121,103,120,113,208,17,2,53,25,44,37,31,35,67,5,1,16,0.347222222,0.363636364,0.359223301,0.258333333,0.309734513,0.322115385,0.294117647,0.5,0.301886792
A1CYSGVB90E67S,40,70,64,75,66,119,14,1,37,17,36,32,31,31,77,8,1,21,0.425,0.514285714,0.5,0.413333333,0.46969697,0.647058824,0.571428571,1,0.567567568
A3OSOGJTD4XD9U,37,57,46,62,54,89,10,1,27,20,24,22,27,27,55,5,1,15,0.540540541,0.421052632,0.47826087,0.435483871,0.5,0.617977528,0.5,1,0.555555556
A2LAWUYEMWODHH,47,67,55,72,66,92,16,2,34,25,42,39,54,37,62,9,1,24,0.531914894,0.626865672,0.709090909,0.75,0.560606061,0.673913043,0.5625,0.5,0.705882353
A3L2UB07EZJAMD,20,39,21,41,32,56,7,1,23,14,33,14,36,29,47,6,1,20,0.7,0.846153846,0.666666667,0.87804878,0.90625,0.839285714,0.857142857,1,0.869565217
A5YVMQWA2IYPF,21,40,28,40,35,48,10,0,18,6,16,5,13,12,18,3,0,7,0.285714286,0.4,0.178571429,0.325,0.342857143,0.375,0.3,0,0.388888889
A3VHDQR8A9JJ4F,15,33,20,30,29,38,9,0,14,7,15,4,11,10,14,2,0,4,0.466666667,0.454545455,0.2,0.366666667,0.344827586,0.368421053,0.222222222,0,0.285714286
A3SMP47XOFZHSW,22,35,25,40,31,53,8,1,17,18,31,23,34,26,48,8,1,14,0.818181818,0.885714286,0.92,0.85,0.838709677,0.905660377,1,1,0.823529412
